Name,Slug,Logo Path
X-Pression,x-pression,/images/brands/xpression.png
SheaMoisture,sheamoisture,/images/brands/sheamoisture.png
Camille Rose,camille-rose,/images/brands/camillerose.png
CHI,chi,/images/brands/chi.png
KeraCare,keracare,/images/brands/keracare.png
Difeel,difeel,/images/brands/difeel.png
Creme of Nature,creme-of-nature,/images/brands/cremeofnature.jpg
AS I AM,as-i-am,/images/brands/asiam.png
Palmers,palmers,/images/brands/palmers.png
Cantu,cantu,/images/brands/cantu.png
ORS,ors,/images/brands/ors.png
Ebin New York,ebin-new-york,/images/brands/ebin.png
RedOne,redone,/images/brands/redone.png
Mielle,mielle,/images/brands/mielle.jpg
The Doux,the-doux,/images/brands/thedoux.png
African Pride,african-pride,/images/brands/africanpride.png
Eco Style,eco-style,/images/brands/ecostyle.jpg
Moroccanoil,moroccanoil,/images/brands/moroccanoil.png
Biosilk,biosilk,/images/brands/biosilk.jpg
Colour Wow,colour-wow,/images/brands/colourwow.png
Jamaican Mango,jamaican-mango,/images/brands/jamaicanmango.jpg
Just For Me,just-for-me,/images/brands/justforme.png
Sensationnel,sensationnel,/images/brands/sensationnel.jpg
TGIN,tgin,/images/brands/tgin.png
Wahl,wahl,/images/brands/wahl.png
Andis,andis,/images/brands/andis.jpg
Red by Kiss,red-by-kiss,/images/brands/redbykiss.png
Gummy,gummy,/images/brands/gummy.webp
Dart,dart,/images/brands/dart.png
Astral,astral,/images/brands/astral.jpeg
