Name,Slug,Image Path
Hair Care,hair-care,/images/categories/hair-care.jpg
Wigs,wigs,/images/categories/wigs.jpg
Hair Extensions,hair-extensions,/images/categories/hair-extensions.jpg
Braids & Crochet,braids-crochet,/images/categories/braids-crochet.jpg
Hair Color,hair-color,/images/categories/hair-color.jpg
Electrical,electrical,/images/categories/electrical.jpg
Accessories,accessories,/images/categories/accessories.jpg
Skincare,skincare,/images/categories/skincare.jpg
Body Care,body-care,/images/categories/body-care.jpg
Fragrance,fragrance,/images/categories/fragrance.jpg
Makeup,makeup,/images/categories/makeup.jpg
Wellness,wellness,/images/categories/wellness.jpg
Kids,kids,/images/categories/kids.jpg
Mens,mens,/images/categories/mens.jpg
Barber,barber,/images/categories/barber.jpg
